IndelRate,Alignment,Slope,SE(Slope),P(Slope>0),Intercept,r2
0.01,aligned_clustalw,0.5008,4.2899e-02,2.3821e-05,0.0800,0.9578
0.01,aligned_mafft,0.4825,4.1519e-02,2.4440e-05,0.0802,0.9575
0.01,aligned_msaprobs,0.4871,4.1807e-02,2.4078e-05,0.0816,0.9577
0.01,aligned_muscle,0.4876,4.3783e-02,3.1236e-05,0.0813,0.9539
0.01,aligned_probalign,0.4941,4.1645e-02,2.1694e-05,0.0799,0.9591
0.01,aligned_probcons,0.4866,4.3053e-02,2.8699e-05,0.0810,0.9551
0.01,aligned_tcoffee,0.4921,4.2754e-02,2.5850e-05,0.0804,0.9567
0.01,correctaligned,0.4725,4.4661e-02,4.1940e-05,0.0819,0.9491
0.01,integratedaln,0.4623,4.4557e-02,4.6917e-05,0.0847,0.9472
0.02,aligned_clustalw,0.4992,5.0177e-02,5.9661e-05,0.0882,0.9428
0.02,aligned_mafft,0.4779,4.7351e-02,5.4928e-05,0.0861,0.9444
0.02,aligned_msaprobs,0.4838,4.7844e-02,5.4326e-05,0.0862,0.9446
0.02,aligned_muscle,0.4916,4.7339e-02,4.6663e-05,0.0825,0.9473
0.02,aligned_probalign,0.4944,4.7542e-02,4.6330e-05,0.0851,0.9474
0.02,aligned_probcons,0.4877,4.8388e-02,5.5408e-05,0.0847,0.9442
0.02,aligned_tcoffee,0.4922,4.9171e-02,5.7609e-05,0.0858,0.9435
0.02,correctaligned,0.4643,4.8331e-02,7.2811e-05,0.0876,0.9389
0.02,integratedaln,0.4524,4.9226e-02,9.3555e-05,0.0888,0.9337
0.03,aligned_clustalw,0.5046,5.3512e-02,8.0860e-05,0.0926,0.9368
0.03,aligned_mafft,0.4744,4.7054e-02,5.5276e-05,0.0881,0.9443
0.03,aligned_msaprobs,0.4846,4.7919e-02,5.4346e-05,0.0884,0.9446
0.03,aligned_muscle,0.4920,4.9955e-02,6.3176e-05,0.0872,0.9417
0.03,aligned_probalign,0.4894,4.8132e-02,5.2647e-05,0.0894,0.9452
0.03,aligned_probcons,0.4873,4.6853e-02,4.6277e-05,0.0868,0.9474
0.03,aligned_tcoffee,0.4942,4.7060e-02,4.3768e-05,0.0874,0.9484
0.03,correctaligned,0.4587,4.9854e-02,9.2912e-05,0.0905,0.9338
0.03,integratedaln,0.4472,4.8200e-02,8.8620e-05,0.0914,0.9348
0.04,aligned_clustalw,0.4830,6.3946e-02,2.7941e-04,0.1068,0.9048
0.04,aligned_mafft,0.4556,5.5137e-02,1.7004e-04,0.0978,0.9192
0.04,aligned_msaprobs,0.4564,5.7749e-02,2.1758e-04,0.1028,0.9124
0.04,aligned_muscle,0.4765,5.8628e-02,1.8636e-04,0.0977,0.9167
0.04,aligned_probalign,0.4703,5.7183e-02,1.7451e-04,0.1022,0.9185
0.04,aligned_probcons,0.4655,5.6241e-02,1.6840e-04,0.0989,0.9195
0.04,aligned_tcoffee,0.4696,5.8444e-02,1.9868e-04,0.1021,0.9150
0.04,correctaligned,0.4398,5.7126e-02,2.5165e-04,0.0999,0.9081
0.04,integratedaln,0.4187,5.5865e-02,2.9180e-04,0.1022,0.9035
0.05,aligned_clustalw,0.4590,6.6777e-02,4.6761e-04,0.1228,0.8873
0.05,aligned_mafft,0.4437,5.4715e-02,1.8872e-04,0.1057,0.9164
0.05,aligned_msaprobs,0.4425,5.5398e-02,2.0528e-04,0.1121,0.9140
0.05,aligned_muscle,0.4730,5.4349e-02,1.2722e-04,0.1047,0.9266
0.05,aligned_probalign,0.4535,5.6864e-02,2.0698e-04,0.1141,0.9138
0.05,aligned_probcons,0.4523,5.3704e-02,1.5280e-04,0.1076,0.9220
0.05,aligned_tcoffee,0.4592,5.6929e-02,1.9439e-04,0.1108,0.9156
0.05,correctaligned,0.4268,5.6974e-02,2.9237e-04,0.1072,0.9034
0.05,integratedaln,0.4086,5.3493e-02,2.6281e-04,0.1098,0.9067
0.06,aligned_clustalw,0.4581,7.1592e-02,6.8606e-04,0.1286,0.8722
0.06,aligned_mafft,0.4370,5.6569e-02,2.4703e-04,0.1142,0.9086
0.06,aligned_msaprobs,0.4418,5.8827e-02,2.8847e-04,0.1170,0.9038
0.06,aligned_muscle,0.4884,5.5613e-02,1.2083e-04,0.1045,0.9278
0.06,aligned_probalign,0.4446,6.0141e-02,3.1451e-04,0.1211,0.9011
0.06,aligned_probcons,0.4485,5.7473e-02,2.3348e-04,0.1138,0.9103
0.06,aligned_tcoffee,0.4515,6.1985e-02,3.4086e-04,0.1185,0.8984
0.06,correctaligned,0.4252,5.6282e-02,2.7920e-04,0.1123,0.9049
0.06,integratedaln,0.4044,5.5193e-02,3.3014e-04,0.1144,0.8995
0.07,aligned_clustalw,0.4409,7.5262e-02,1.0930e-03,0.1390,0.8512
0.07,aligned_mafft,0.4233,6.3477e-02,5.5021e-04,0.1234,0.8811
0.07,aligned_msaprobs,0.4183,6.3537e-02,5.8973e-04,0.1281,0.8784
0.07,aligned_muscle,0.4777,5.8224e-02,1.7674e-04,0.1127,0.9182
0.07,aligned_probalign,0.4246,6.6604e-02,7.0047e-04,0.1328,0.8713
0.07,aligned_probcons,0.4275,6.2892e-02,4.9622e-04,0.1247,0.8851
0.07,aligned_tcoffee,0.4327,6.4186e-02,5.1936e-04,0.1283,0.8834
0.07,correctaligned,0.3991,6.4676e-02,8.3183e-04,0.1253,0.8639
0.07,integratedaln,0.3793,6.0321e-02,7.5343e-04,0.1242,0.8682
0.08,aligned_clustalw,0.4350,7.3337e-02,1.0240e-03,0.1444,0.8543
0.08,aligned_mafft,0.4398,6.1044e-02,3.6206e-04,0.1190,0.8964
0.08,aligned_msaprobs,0.4316,5.8031e-02,3.0431e-04,0.1267,0.9021
0.08,aligned_muscle,0.4947,5.8036e-02,1.4283e-04,0.1135,0.9237
0.08,aligned_probalign,0.4309,6.1392e-02,4.1731e-04,0.1321,0.8914
0.08,aligned_probcons,0.4331,5.8814e-02,3.2139e-04,0.1257,0.9004
0.08,aligned_tcoffee,0.4416,5.7808e-02,2.6266e-04,0.1291,0.9068
0.08,correctaligned,0.4031,6.2728e-02,6.7065e-04,0.1250,0.8732
0.08,integratedaln,0.3924,5.5920e-02,4.1767e-04,0.1216,0.8914
BranchLength,Alignment,Slope,SE(Slope),P(Slope>0),Intercept,r2
0.1,aligned_clustalw,0.4271,3.2917e-02,1.2897e-05,0.0858,0.9656
0.1,aligned_mafft,0.2894,2.8666e-02,5.4851e-05,0.0860,0.9444
0.1,aligned_msaprobs,0.3270,4.0689e-02,1.9831e-04,0.0870,0.9150
0.1,aligned_muscle,0.2825,2.8167e-02,5.6951e-05,0.0865,0.9437
0.1,aligned_probalign,0.3726,3.5485e-02,4.3805e-05,0.0861,0.9484
0.1,aligned_probcons,0.3268,3.5887e-02,9.8552e-05,0.0857,0.9325
0.1,aligned_tcoffee,0.3725,4.0204e-02,8.9348e-05,0.0852,0.9347
